1648226049.870923 IP 52.59.96.142.22 > 172.31.86.245.48268: Flags [P.], seq 805:841, ack 684, win 471, options [nop,nop,TS val 1011531082 ecr 1903965694], length 36
1648226050.408113 IP 52.59.96.142.22 > 172.31.86.245.48268: Flags [P.], seq 841:877, ack 684, win 471, options [nop,nop,TS val 1011531619 ecr 1903965837], length 36
1648226050.430243 IP 52.59.96.142.22 > 172.31.86.245.48268: Flags [P.], seq 877:985, ack 684, win 471, options [nop,nop,TS val 1011531641 ecr 1903965837], length 108
1648226052.854312 IP 172.31.86.245.48268 > 52.59.96.142.22: Flags [P.], seq 684:720, ack 985, win 443, options [nop,nop,TS val 1903968821 ecr 1011531641], length 36
1648226052.950166 IP 172.31.86.245.48268 > 52.59.96.142.22: Flags [P.], seq 720:756, ack 985, win 443, options [nop,nop,TS val 1903968917 ecr 1011534154], length 36
1648226053.559718 IP 52.59.96.142.22 > 172.31.86.245.48268: Flags [P.], seq 985:1021, ack 756, win 471, options [nop,nop,TS val 1011534770 ecr 1903968917], length 36
1648226053.655380 IP 52.59.96.142.22 > 172.31.86.245.48268: Flags [P.], seq 1021:1057, ack 756, win 471, options [nop,nop,TS val 1011534866 ecr 1903969526], length 36
1648226053.958001 IP 172.31.86.245.48268 > 52.59.96.142.22: Flags [P.], seq 756:792, ack 1057, win 443, options [nop,nop,TS val 1903969924 ecr 1011534866], length 36
1648226054.663681 IP 52.59.96.142.22 > 172.31.86.245.48268: Flags [P.], seq 1057:1093, ack 792, win 471, options [nop,nop,TS val 1011535874 ecr 1903969924], length 36
1648226054.664307 IP 52.59.96.142.22 > 172.31.86.245.48268: Flags [P.], seq 1093:1201, ack 792, win 471, options [nop,nop,TS val 1011535875 ecr 1903969924], length 108
1648226054.664618 IP 52.59.96.142.22 > 172.31.86.245.48268: Flags [P.], seq 1201:1389, ack 792, win 471, options [nop,nop,TS val 1011535875 ecr 1903969924], length 188
1648226054.664796 IP 52.59.96.142.22 > 172.31.86.245.48268: Flags [P.], seq 1389:1497, ack 792, win 471, options [nop,nop,TS val 1011535875 ecr 1903969924], length 108
1648226054.997995 IP 172.31.86.245.48268 > 52.59.96.142.22: Flags [P.], seq 792:828, ack 1497, win 443, options [nop,nop,TS val 1903970964 ecr 1011535875], length 36
1648226055.133752 IP 172.31.86.245.48268 > 52.59.96.142.22: Flags [P.], seq 828:864, ack 1497, win 443, options [nop,nop,TS val 1903971100 ecr 1011536298], length 36
1648226055.703113 IP 52.59.96.142.22 > 172.31.86.245.48268: Flags [P.], seq 1497:1533, ack 864, win 471, options [nop,nop,TS val 1011536914 ecr 1903971100], length 36
1648226055.814226 IP 172.31.86.245.48268 > 52.59.96.142.22: Flags [P.], seq 864:900, ack 1533, win 443, options [nop,nop,TS val 1903971781 ecr 1011536914], length 36
1648226055.838891 IP 52.59.96.142.22 > 172.31.86.245.48268: Flags [P.], seq 1533:1569, ack 864, win 471, options [nop,nop,TS val 1011537049 ecr 1903971670], length 36
1648226055.974159 IP 172.31.86.245.48268 > 52.59.96.142.22: Flags [P.], seq 900:936, ack 1569, win 443, options [nop,nop,TS val 1903971941 ecr 1011537114], length 36
1648226056.118099 IP 172.31.86.245.48268 > 52.59.96.142.22: Flags [P.], seq 936:972, ack 1569, win 443, options [nop,nop,TS val 1903972085 ecr 1011537274], length 36
1648226056.365491 IP 172.31.86.245.48268 > 52.59.96.142.22: Flags [P.], seq 972:1008, ack 1569, win 443, options [nop,nop,TS val 1903972332 ecr 1011537418], length 36
1648226056.519407 IP 52.59.96.142.22 > 172.31.86.245.48268: Flags [P.], seq 1569:1605, ack 1008, win 471, options [nop,nop,TS val 1011537730 ecr 1903972332], length 36
1648226056.621850 IP 172.31.86.245.48268 > 52.59.96.142.22: Flags [P.], seq 1008:1044, ack 1605, win 443, options [nop,nop,TS val 1903972588 ecr 1011537730], length 36
